id,ndex,name,type1,type2,ability1,ability2,spec_ability,hp,attack,defense,spattack,spdefense,speed,weight,height,dex1,dex2,class,pre-evolution,egg-group1,egg-group2
254,254,Sceptile,Grass,,Overgrow,,Unburden,70,85,65,105,85,120,115.1,67,,,Forest Pokemon,Grovyle,Monster,Dragon
255,255,Torchic,Fire,,Blaze,,Speed Boost,45,60,40,70,50,45,5.5,16,,,Chick Pokemon,,Field,
256,256,Combusken,Fire,Fighting,Blaze,,Speed Boost,60,85,60,85,60,55,43,35,,,Young Fowl Pokemon,Torchic,Field,
257,257,Blaziken,Fire,Fighting,Blaze,,Speed Boost,80,120,70,110,70,80,114.6,75,,,Blaze Pokemon,Combusken,Field,
258,258,Mudkip,Water,,Torrent,,Damp,50,70,50,50,50,40,16.8,16,,,Mud Fish Pokemon,,Monster,Water 1
259,259,Marshtomp,Water,Ground,Torrent,,Damp,70,85,70,60,70,50,61.7,28,,,Mud Fish Pokemon,Mudkip,Monster,Water 1
260,260,Swampert,Water,Ground,Torrent,,Damp,100,110,90,85,90,60,180.6,59,,,Mud Fish Pokemon,Marshtomp,Monster,Water 1
261,261,Poochyena,Dark,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,30,20,,,Bite Pokemon,,Field,
262,262,Mightyena,Dark,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,81.6,39,,,Bite Pokemon,Poochyena,Field,
263,263,Zigzagoon,Normal,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,38.6,16,,,Tiny Raccoon Pokemon,,Field,
264,264,Linoone,Normal,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,71.6,20,,,Rushing Pokemon,Zigzagoon,Field,
265,265,Wurmple,Bug,,Shield Dust,,Run Away,45,45,35,20,30,20,7.9,12,,,Worm Pokemon,,Bug,
266,266,Silcoon,Bug,,Shed Skin,,,50,35,55,25,25,15,22,24,,,Cocoon Pokemon,Wurmple,Bug,
267,267,Beautifly,Bug,Flying,Swarm,,Rivalry,60,70,50,100,50,65,62.6,39,,,Butterfly Pokemon,Silcoon,Bug,
268,268,Cascoon,Bug,,Shed Skin,,,50,35,55,25,25,15,25.4,28,,,Cocoon Pokemon,Wumple,Bug,
269,269,Dustox,Bug,Poison,Shield Dust,,Compound Eyes,60,50,70,50,90,65,69.7,47,,,Poison Moth Pokemon,Cascoon,Bug,
270,270,Lotad,Water,Grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,5.7,20,,,Water Weed Pokemon,,Water 1,Grass
271,271,Lombre,Water,Grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,71.6,47,,,Jolly Pokemon,Lotad,Water 1,Grass
272,272,Ludicolo,Water,Grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,121.3,59,,,Carefree Pokemon,Lombre,Water 1,Grass
273,273,Seedot,Grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,8.8,20,,,Acorn Pokemon,,Field,Grass
274,274,Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,61.7,39,,,Wily Pokemon,Seedot,Field,Grass
275,275,Shiftry,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,131.4,51,,,Wicked Pokemon,Nuzleaf,Field,Grass
276,276,Taillow,Normal,Flying,Guts,,Scrappy,40,55,30,30,30,85,5.1,12,,,Tiny Swallow Pokemon,,Flying,
277,277,Swellow,Normal,Flying,Guts,,Scrappy,60,85,60,75,50,125,43.7,28,,,Swallow Pokemon,Taillow,Flying,
278,278,Wingull,Water,Flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,20.9,24,Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.,"Fishermen keep an eye out for Wingull in the sky, because wherever they're circling, the ocean is sure to be teeming with fish Pokemon.",Seagull Pokemon,,Water 1,Flying
279,279,Pelipper,Water,Flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,61.7,47,Its spacious beak is large enough for a small child to fit right inside.,Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.,Water Bird Pokemon,Wingull,Water 1,Flying
280,280,Ralts,Psychic,Fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,14.6,16,,,Feeling Pokemon,,Amorphous,
281,281,Kirlia,Psychic,Fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,44.5,31,,,Emotion Pokemon,Ralts,Amorphous,
282,282,Gardevoir,Psychic,Fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,106.7,63,,,Embrace Pokemon,Kirlia,Amorphous,
283,283,Surskit,Bug,Water,Swift Swim,,Rain Dish,40,30,32,50,52,65,3.7,20,It moves as if skating on the surface of the water. It often fights with Dewpider over food.,"When this Pokemon senses danger, a sweet fluid oozes from the tip of its head. The taste of it disgusts bird Pokemon.",Pond Skater Pokemon,,Water 1,Bug
284,284,Masquerain,Bug,Flying,Intimidate,,Unnerve,70,60,62,100,82,80,7.9,31,It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.,"Its wings and antennae don't cope well with moisture. After a rain, it faces sunward to dry off.",Eyeball Pokemon,Surskit,Water 1,Bug
285,285,Shroomish,Grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,9.9,16,,,Mushroom Pokemon,,Fairy,Grass
286,286,Breloom,Grass,Fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,86.4,47,,,Mushroom Pokemon,Shroomish,Fairy,Grass
287,287,Slakoth,Normal,,Truant,,,60,60,60,35,35,30,52.9,31,,,Slacker Pokemon,,Field,
288,288,Vigoroth,Normal,,Vital Spirit,,,80,80,80,55,55,90,102.5,55,,,Wild Monkey Pokemon,Slakoth,Field,
289,289,Slaking,Normal,,Truant,,,150,160,100,95,65,100,287.7,79,,,Lazy Pokemon,Vigoroth,Field,
290,290,Nincada,Bug,Ground,Compound Eyes,,Run Away,31,45,90,30,30,40,12.1,20,,,Trainee Pokemon,,Bug,
291,291,Ninjask,Bug,Flying,Speed Boost,,Infiltrator,61,90,45,50,50,160,26.5,31,,,Ninja Pokemon,Nincada,Bug,
292,292,Shedinja,Bug,Ghost,Wonder Guard,,Wonder Guard,1,90,45,30,30,40,2.6,31,,,Shed Pokemon,Nincada,Mineral,
293,293,Whismur,Normal,,Soundproof,,Rattled,64,51,23,51,23,28,35.9,24,,,Whisper Pokemon,,Monster,Field
294,294,Loudred,Normal,,Soundproof,,Scrappy,84,71,43,71,43,48,89.3,39,,,Big Voice Pokemon,Whismur,Monster,Field
295,295,Exploud,Normal,,Soundproof,,Scrappy,104,91,63,91,73,68,185.2,59,,,Loud Noise Pokemon,Loudred,Monster,Field
296,296,Makuhita,Fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,190.5,39,"It was originally brought in from another region, but now Makuhita from Alola are more famous.","Their daily routine consists of training together first thing in the morning, eating and napping in the afternoon, and then more training afterward.",Guts Pokemon,,Human-Like,
297,297,Hariyama,Fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,559.5,91,"It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita.",They love to compare their freakish strength— strength enough to send a truck flying with a single slap.,Arm Thrust Pokemon,Makuhita,Human-Like,
298,298,Azurill,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,4.4,8,,,Polka Dot Pokemon,,Undiscovered,
299,299,Nosepass,Rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,213.8,39,"The magnet in Nosepass's nose provides an unerring compass, making it an excellent partner for Trainers going on a journey.","It uses powerful magnetism to drag its prey toward it. It's also been known to pull in metal, which it collects and uses to protect itself.",Compass Pokemon,,Mineral,
300,300,Skitty,Normal,,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,24.3,24,,,Kitten Pokemon,,Field,Fairy
301,301,Delcatty,Normal,,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,71.9,43,,,Prim Pokemon,Skitty,Field,Fairy
302,302,Sableye,Dark,Ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,24.3,20,"It's a fiend for gemstones, so it stalks Carbink. Unfortunately, Gabite almost always grabs them first.","This Pokemon is feared. When its gemstone eyes begin to glow with a sinister shine, it's believed that Sableye will steal people's spirits away.",Darkness Pokemon,,Human-Like,
303,303,Mawile,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,25.4,24,,,Deceiver Pokemon,,Field,Fairy
304,304,Aron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,132.3,16,,,Iron Armor Pokemon,,Monster,
305,305,Lairon,Steel,Rock,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,264.6,35,,,Iron Armor Pokemon,Aron,Monster,
306,306,Aggron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,793.7,83,,,Iron Armor Pokemon,Lairon,Monster,
307,307,Meditite,Fighting,Psychic,Pure Power,,Telepathy,30,40,55,40,55,60,24.7,24,,,Meditate Pokemon,,Human-Like,
308,308,Medicham,Fighting,Psychic,Pure Power,,Telepathy,60,60,75,60,75,80,69.4,51,,,Meditate Pokemon,Meditite,Human-Like,
309,309,Electrike,Electric,,Static,Lightning Rod,Minus,40,45,40,65,40,65,33.5,24,,,Lightning Pokemon,,Field,
310,310,Manectric,Electric,,Static,Lightning Rod,Minus,70,75,60,105,60,105,88.6,59,,,Discharge Pokemon,Electrike,Field,
311,311,Plusle,Electric,,Plus,,Lightning Rod,60,50,40,85,75,95,9.3,16,,,Cheering Pokemon,,Fairy,
312,312,Minun,Electric,,Minus,,Volt Absorb,60,40,50,75,85,95,9.3,16,,,Cheering Pokemon,,Fairy,
313,313,Volbeat,Bug,,Illuminate,Swarm,Prankster,65,73,75,47,85,85,39,28,,,Firefly Pokemon,,Bug,Human-Like
314,314,Illumise,Bug,,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,39,24,,,Firefly Pokemon,,Bug,Human-Like
315,315,Roselia,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,4.4,12,,,Thorn Pokemon,Budew,Fairy,Grass
316,316,Gulpin,Poison,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,22.7,16,,,Stomach Pokemon,,Amorphous,
317,317,Swalot,Poison,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,176.4,67,,,Poison Bag Pokemon,Gulpin,Amorphous,
318,318,Carvanha,Water,Dark,Rough Skin,,Speed Boost,45,90,20,65,20,65,45.9,31,Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.,"If they scent the faintest trace of blood, they rush to attack en masse. When alone, they're rather cowardly.",Savage Pokemon,,Water 2,
319,319,Sharpedo,Water,Dark,Rough Skin,,Speed Boost,70,120,40,95,40,95,195.8,71,It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea.,"It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this Pokemon became a victim of overfishing.",Brutal Pokemon,Carvanha,Water 2,
320,320,Wailmer,Water,,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,286.6,79,It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,Ball Whale Pokemon,,Field,Water 2
321,321,Wailord,Water,,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,877.4,571,"Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole.",Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.,Float Whale Pokemon,Wailmer,Field,Water 2
322,322,Numel,Fire,Ground,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,52.9,28,,,Numb Pokemon,,Field,
323,323,Camerupt,Fire,Ground,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,485,75,,,Eruption Pokemon,Numel,Field,
324,324,Torkoal,Fire,,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,177.2,20,Coal is the source of Torkoal's energy. Large amounts of coal can be found in the mountains where they live.,"If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand.",Coal Pokemon,,Field,
325,325,Spoink,Psychic,,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,67.5,28,,,Bounce Pokemon,,Field,
326,326,Grumpig,Psychic,,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,157.6,35,,,Manipulate Pokemon,Spoink,Field,
327,327,Spinda,Normal,,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,11,43,"Its steps are staggering and unsteady, but Spinda thinks it's walking in a straight line.",Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.,Spot Panda Pokemon,,Field,Human-Like
328,328,Trapinch,Ground,,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,33.1,28,It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.,"As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest.",Ant Pit Pokemon,,Bug,
329,329,Vibrava,Ground,Dragon,Levitate,,,50,70,50,50,50,70,33.7,43,"Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies.","To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day.",Vibration Pokemon,Trapinch,Bug,
330,330,Flygon,Ground,Dragon,Levitate,,,80,100,80,80,80,100,180.8,79,"The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygon's prey.",This Pokemon hides in the heart of sandstorms it creates and seldom appears where people can see it.,Mystic Pokemon,Vibrava,Bug,
331,331,Cacnea,Grass,,Sand Veil,,Water Absorb,50,85,40,85,40,35,113.1,16,,,Cactus Pokemon,,Grass,Human-Like
332,332,Cacturne,Grass,Dark,Sand Veil,,Water Absorb,70,115,60,115,60,55,170.6,51,,,Scarecrow Pokemon,Cacnea,Grass,Human-Like
333,333,Swablu,Normal,Flying,Natural Cure,,Cloud Nine,45,40,60,40,75,50,2.6,16,,,Cotton Bird Pokemon,,Flying,Dragon
334,334,Altaria,Dragon,Flying,Natural Cure,,Cloud Nine,75,70,90,70,105,80,45.4,43,,,Humming Pokemon,Swablu,Flying,Dragon
335,335,Zangoose,Normal,,Immunity,,Toxic Boost,73,115,60,60,60,90,88.8,51,,,Cat Ferret Pokemon,,Field,
336,336,Seviper,Poison,,Shed Skin,,Infiltrator,73,100,60,100,60,65,115.7,106,,,Fang Snake Pokemon,,Field,Dragon
337,337,Lunatone,Rock,Psychic,Levitate,,,90,55,65,95,85,70,370.4,39,,,Meteorite Pokemon,,Mineral,
338,338,Solrock,Rock,Psychic,Levitate,,,90,95,85,55,65,70,339.5,47,,,Meteorite Pokemon,,Mineral,
339,339,Barboach,Water,Ground,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,4.2,16,"Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey's location.","Its slippery body is hard to grasp, so much so that there are festivals where people compete to see how many they can catch barehanded.",Whiskers Pokemon,,Water 2,
340,340,Whiscash,Water,Ground,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,52,35,"A glutton that devours anything that moves, it quietly lurks at the bottom of swamps, lying in wait for prey.",Sighting Whiscash leaping from the water is believed to herald an earthquake.,Whiskers Pokemon,Barboach,Water 2,
341,341,Corphish,Water,,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,25.4,24,,,Ruffian Pokemon,,Water 1,Water 3
342,342,Crawdaunt,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,72.3,43,,,Rogue Pokemon,Corphish,Water 1,Water 3
343,343,Baltoy,Ground,Psychic,Levitate,,,40,40,55,40,70,55,47.4,20,,,Clay Doll Pokemon,,Mineral,
344,344,Claydol,Ground,Psychic,Levitate,,,60,70,105,70,120,75,238.1,59,,,Clay Doll Pokemon,Baltoy,Mineral,
345,345,Lileep,Rock,Grass,Suction Cups,,Storm Drain,66,41,77,61,87,23,52.5,39,,,Sea Lily Pokemon,,Water 3,
346,346,Cradily,Rock,Grass,Suction Cups,,Storm Drain,86,81,97,81,107,43,133.2,59,,,Barnacle Pokemon,Lileep,Water 3,
347,347,Anorith,Rock,Bug,Battle Armor,,Swift Swim,45,95,50,40,50,75,27.6,28,,,Old Shrimp Pokemon,,Water 3,
348,348,Armaldo,Rock,Bug,Battle Armor,,Swift Swim,75,125,100,70,80,45,150.4,59,,,Plate Pokemon,Anorith,Water 3,
349,349,Feebas,Water,,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,16.3,24,"A tough Pokemon that is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isn't popular.","Although unattractive and unpopular, this Pokemon's marvelous vitality has made it a subject of research.",Fish Pokemon,,Water 1,Dragon
350,350,Milotic,Water,,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,357.1,244,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokemon of all.,"It lives at the bottom of clear lakes. In times of war, it shows itself, which soothes people's minds and hearts.",Tender Pokemon,Feebas,Water 1,Dragon
351,351,Castform,Normal,,Forecast,,,70,70,70,70,70,70,1.8,12,It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.,"Its form changes on its own, due to its cells' sensitive reactions to temperature and humidity.",Weather Pokemon,,Fairy,Amorphous
352,352,Kecleon,Normal,,Color Change,,Protean,60,90,70,60,120,40,48.5,39,,,Color Swap Pokemon,,Field,
353,353,Shuppet,Ghost,,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,5.1,24,,,Puppet Pokemon,,Amorphous,
354,354,Banette,Ghost,,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,27.6,43,,,Marionette Pokemon,Shuppet,Amorphous,
355,355,Duskull,Ghost,,Levitate,,Frisk,20,40,90,30,90,25,33.1,31,,,Requiem Pokemon,,Amorphous,
356,356,Dusclops,Ghost,,Pressure,,Frisk,40,70,130,60,130,25,67.5,63,,,Beckon Pokemon,Duskull,Amorphous,
357,357,Tropius,Grass,Flying,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,220.5,79,,,Fruit Pokemon,,Monster,Grass
358,358,Chimecho,Psychic,,Levitate,,,75,50,80,95,90,65,2.2,24,,,Wind Chime Pokemon,Chingling,Amorphous,
359,359,Absol,Dark,,Pressure,Super Luck,Justified,65,130,60,75,60,75,103.6,47,"Long ago, superstitions were spread about it, saying it brought disaster. This fed a hatred of it, and it was driven deep into the mountains.","Although it's said to bring disaster, in actuality, this Pokemon possesses a calm disposition and warns people of any crises that loom.",Disaster Pokemon,,Field,
360,360,Wynaut,Psychic,,Shadow Tag,,Telepathy,95,23,48,23,48,23,30.9,24,,,Bright Pokemon,,Undiscovered,
361,361,Snorunt,Ice,,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,37,28,Their numbers seem to have rapidly increased in Alola. Custom has it that houses where Snorunt live will be prosperous for generations to come.,"It can only survive in cold areas. It bounces happily around, even in environments as cold as -150 degrees Fahrenheit.",Snow Hat Pokemon,,Fairy,Mineral
362,362,Glalie,Ice,,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,565.5,59,"Legend says a boulder on an icy mountain absorbed the distress and regrets of a stranded mountaineer, giving rise to Glalie.","Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they're in that frozen state, it gobbles them up.",Face Pokemon,Snorunt,Fairy,Mineral
363,363,Spheal,Ice,Water,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,87.1,31,,,Clap Pokemon,,Water 1,Field
364,364,Sealeo,Ice,Water,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,193.1,43,,,Ball Roll Pokemon,Spheal,Water 1,Field
365,365,Walrein,Ice,Water,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,332,55,,,Ice Break Pokemon,Sealeo,Water 1,Field
366,366,Clamperl,Water,,Shell Armor,,Rattled,35,64,85,74,55,32,115.7,16,,,Bivalve Pokemon,,Water 1,
367,367,Huntail,Water,,Swift Swim,,Water Veil,55,104,105,94,75,52,59.5,67,,,Deep Sea Pokemon,Clamperl,Water 1,
368,368,Gorebyss,Water,,Swift Swim,,Hydration,55,84,105,114,75,52,49.8,71,,,South Sea Pokemon,Clamperl,Water 1,
369,369,Relicanth,Water,Rock,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,51.6,39,"Its form has remained the same for one hundred million years. Its body is filled with fat, so it can withstand the water pressure of the deep sea.","It was fortuitously discovered during a deep sea expedition. Its teeth have atrophied, so it now survives on microscopic organisms it sucks up.",Longevity Pokemon,,Water 1,Water 2
370,370,Luvdisc,Water,,Swift Swim,,Hydration,43,30,55,40,65,97,19.2,24,"If a Luvdisc is left on its own, it becomes despondent, leaving itself open to attack. That is when Pelipper snatch them up.","Loving couples have a soft spot for this Pokemon, so honeymoon hotels often release this Pokemon into their pools.",Rendezvous Pokemon,,Water 2,
371,371,Bagon,Dragon,,Rock Head,,Sheer Force,45,75,60,40,30,50,92.8,24,Its belief that it will be able to fly one day is apparently the influence of information carried in its genes.,"With its steel-hard stone head, it headbutts indiscriminately. This is because of the stress it feels at being unable to fly.",Rock Head Pokemon,,Dragon,
372,372,Shelgon,Dragon,,Rock Head,,Overcoat,65,95,100,60,50,50,243.6,43,"The cells within its shell transform with explosive speed, preparing it for evolution.","They lurk deep within caves—motionless, neither eating nor drinking. Why they don't die is not known.",Endurance Pokemon,Bagon,Dragon,
373,373,Salamence,Dragon,Flying,Intimidate,,Moxie,95,135,80,110,80,100,226.2,59,"When angered, it loses all sense of itself and destroys everything around it. The destruction will continue until Salamence has tired itself out.","It flies around on its wings, which have grown in at last. In its happiness, it gushes hot flames, burning up the fields it passes over.",Dragon Pokemon,Shelgon,Dragon,
374,374,Beldum,Steel,Psychic,Clear Body,,Light Metal,40,55,80,35,60,30,209.9,24,Its cells are all magnets. It uses magnetism to communicate with others of its kind.,"With magnetic traction, it pulls its opponents in close. When they're in range, it slashes them with its rear claws.",Iron Ball Pokemon,,Mineral,
375,375,Metang,Steel,Psychic,Clear Body,,Light Metal,60,75,100,55,80,50,446.4,47,"When two Beldum link together, their psychic power is doubled. Their intelligence, however, remains unchanged.","It adores magnetic minerals, so it pursues Nosepass at speeds exceeding 60 mph.",Iron Claw Pokemon,Beldum,Mineral,
376,376,Metagross,Steel,Psychic,Clear Body,,Light Metal,80,135,130,95,90,70,1212.5,63,It firmly pins its prey using its four claws and large body. Then the teeth in the mouth on its stomach chew the prey to bits.,"A linkage of two Metang, this Pokemon can perform any calculation in a flash by utilizing parallel processing in its four brains.",Iron Leg Pokemon,Metang,Mineral,
377,377,Regirock,Rock,,Clear Body,,Sturdy,80,100,200,50,100,50,507.1,67,,,Rock Peak Pokemon,,Undiscovered,
378,378,Regice,Ice,,Clear Body,,Ice Body,80,50,100,100,200,50,385.8,71,,,Iceberg Pokemon,,Undiscovered,
379,379,Registeel,Steel,,Clear Body,,Light Metal,80,75,150,75,150,50,451.9,75,,,Iron Pokemon,,Undiscovered,
380,380,Latias,Dragon,Psychic,Levitate,,,80,80,90,110,130,110,88.2,55,,,Eon Pokemon,,Undiscovered,
381,381,Latios,Dragon,Psychic,Levitate,,,80,90,80,130,110,110,132.3,79,,,Eon Pokemon,,Undiscovered,
382,382,Kyogre,Water,,Drizzle,,,100,100,90,150,140,90,776,177,,,Sea Basin Pokemon,,Undiscovered,
383,383,Groudon,Ground,,Drought,,,100,150,140,100,90,90,2094.4,138,,,Continent Pokemon,,Undiscovered,
384,384,Rayquaza,Dragon,Flying,Air Lock,,,105,150,90,150,90,95,455.2,276,,,Sky High Pokemon,,Undiscovered,
385,385,Jirachi,Steel,Psychic,Serene Grace,,,100,100,100,100,100,100,2.4,12,,,Wish Pokemon,,Undiscovered,
386,386,Deoxys,Psychic,,Pressure,,,50,150,50,150,50,150,134,67,,,DNA Pokemon,,Undiscovered,
387,387,Turtwig,Grass,,Overgrow,,Shell Armor,55,68,64,45,55,31,22.5,16,,,Tiny Leaf Pokemon,,Monster,Grass
388,388,Grotle,Grass,,Overgrow,,Shell Armor,75,89,85,55,65,36,213.8,43,,,Grove Pokemon,Turtwig,Monster,Grass
389,389,Torterra,Grass,Ground,Overgrow,,Shell Armor,95,109,105,75,85,56,683.4,87,,,Continent Pokemon,Grotle,Monster,Grass
390,390,Chimchar,Fire,,Blaze,,Iron Fist,44,58,44,58,44,61,13.7,20,,,Chimp Pokemon,,Field,Human-Like
391,391,Monferno,Fire,Fighting,Blaze,,Iron Fist,64,78,52,78,52,81,48.5,35,,,Playful Pokemon,Chimchar,Field,Human-Like
392,392,Infernape,Fire,Fighting,Blaze,,Iron Fist,76,104,71,104,71,108,121.3,47,,,Flame Pokemon,Monferno,Field,Human-Like
393,393,Piplup,Water,,Torrent,,Defiant,53,51,53,61,56,40,11.5,16,,,Penguin Pokemon,,Water 1,Field
394,394,Prinplup,Water,,Torrent,,Defiant,64,66,68,81,76,50,50.7,31,,,Penguin Pokemon,Piplup,Water 1,Field
395,395,Empoleon,Water,Steel,Torrent,,Defiant,84,86,88,111,101,60,186.3,67,,,Emperor Pokemon,Prinplup,Water 1,Field
396,396,Starly,Normal,Flying,Keen Eye,,Reckless,40,55,30,30,30,60,4.4,12,,,Starling Pokemon,,Flying,
397,397,Staravia,Normal,Flying,Intimidate,,Reckless,55,75,50,40,40,80,34.2,24,,,Starling Pokemon,Starly,Flying,
398,398,Staraptor,Normal,Flying,Intimidate,,Reckless,85,120,70,50,60,100,54.9,47,,,Predator Pokemon,Staravia,Flying,
399,399,Bidoof,Normal,,Simple,Unaware,Moody,59,45,40,35,40,31,44.1,20,,,Plump Mouse Pokemon,,Water 1,Field
400,400,Bibarel,Normal,Water,Simple,Unaware,Moody,79,85,60,55,60,71,69.4,39,,,Beaver Pokemon,Bidoof,Water 1,Field
401,401,Kricketot,Bug,,Shed Skin,,Run Away,37,25,41,25,41,25,4.9,12,,,Cricket Pokemon,,Bug,
402,402,Kricketune,Bug,,Swarm,,Technician,77,85,51,55,51,65,56.2,39,,,Cricket Pokemon,Kricketot,Bug,
403,403,Shinx,Electric,,Rivalry,Intimidate,Guts,45,65,34,40,34,45,20.9,20,,,Flash Pokemon,,Field,
404,404,Luxio,Electric,,Rivalry,Intimidate,Guts,60,85,49,60,49,60,67.2,35,,,Spark Pokemon,Shinx,Field,
405,405,Luxray,Electric,,Rivalry,Intimidate,Guts,80,120,79,95,79,70,92.6,55,,,Gleam Eyes Pokemon,Luxio,Field,
406,406,Budew,Grass,Poison,Mold Breaker,,Sheer Force,40,30,35,50,70,55,2.6,8,,,Bud Pokemon,,Undiscovered,
407,407,Roserade,Grass,Poison,Mold Breaker,,Sheer Force,60,70,65,125,105,90,32,35,,,Bouquet Pokemon,Roselia,Fairy,Grass
408,408,Cranidos,Rock,,Sturdy,,Soundproof,67,125,40,30,30,58,69.4,35,It lived in jungles around a hundred million years ago. It used its skillful headbutts to combat Aerodactyl.,"In rock layers where Cranidos fossils are found, the fossilized trunks of trees snapped in two are also often found.",Head Butt Pokemon,,Monster,
409,409,Rampardos,Rock,,Sturdy,,Soundproof,97,165,60,65,50,58,226,63,"The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos's.",Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.,Head Butt Pokemon,Cranidos,Monster,
