id	ndex	species	type1	type2	ability1	ability2	abilityH	hp	attack	defense	spattack	spdefense	speed	total	weight	height	dex1	dex2	class	percent-male	percent-female	pre-evolution	egg-group1	egg-group2
233	233	Porygon2	Normal		Trace	Download	Analytic	85	80	90	105	95	60	515	71.6	24	'For the purposes of planetary development, Porygon was updated with the most cutting-edge technology available.'	Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet.	Virtual Pokemon			Porygon	Mineral	
234	234	Stantler	Normal		Intimidate	Frisk	Sap Sipper	73	95	62	85	65	85	465	157	55			Big Horn Pokemon	0.5	0.5		Field	
235	235	Smeargle	Normal		Own Tempo	Technician	Moody	55	20	35	20	45	75	250	127.9	47	The unique creations produced by each Smeargle are painted using the fluid that oozes from its tail. This is how it marks its territory.	'It draws symbols all over the place to mark its territory. In towns with many Smeargle, the walls are covered in graffiti.'	Painter Pokemon	0.5	0.5		Field	
236	236	Tyrogue	Fighting		Guts	Steadfast	Vital Spirit	35	35	35	35	35	35	210	46.3	28			Scuffle Pokemon	1	0		Undiscovered	
237	237	Hitmontop	Fighting		Intimidate	Technician	Steadfast	50	95	95	35	110	70	455	105.8	55			Handstand Pokemon	1	0	Tyrogue	Human-Like	
238	238	Smoochum	Ice	Psychic	Oblivious	Forewarn	Hydration	45	30	15	85	65	65	305	13.2	16			Kiss Pokemon	0	1		Undiscovered	
239	239	Elekid	Electric		Static		Vital Spirit	45	63	37	65	55	95	360	51.8	24	'When it's in a house, electrical outlets serve as its baby bottles. It sucks down electricity.'	This Pokemon is constantly fighting with Togedemaru that try to steal its electricity. It's a pretty even match.	Electric Pokemon	0.75	0.25		Undiscovered	
240	240	Magby	Fire		Flame Body		Vital Spirit	45	75	37	70	55	83	365	47.2	28	'Many of these Pokemon can be seen in areas with volcanic activity. Feeding can get them so excited, they exhale flames of 1,100 degrees F.'	A famous potter lives with a Magby. Apparently its soft flames produce fine works.	Live Coal Pokemon	0.75	0.25		Undiscovered	
241	241	Miltank	Normal		Thick Fat	Scrappy	Sap Sipper	95	80	105	40	70	100	490	166.4	47	'Its milk is high in calories and packed with nutrients. Therefore, if you drink too much of it, you may wind up with a body like Miltank's.'	'Most people raise it for its milk, but it's quite tough and strong, so it's also well suited for battle.'	Milk Cow Pokemon	0	1		Field	
242	242	Blissey	Normal		Natural Cure	Serene Grace	Healer	255	10	10	75	135	55	540	103.2	59	'Even the most ferocious Pokemon become calm when they eat Blissey's egg, which is said to be filled with happiness.'	'Its fluffy fur coat acts as a sensor, enabling it to read the feelings of people and Pokemon.'	Happiness Pokemon	0	1	Chansey	Fairy	
243	243	Raikou	Electric		Pressure		Inner Focus	90	85	75	115	100	115	580	392.4	75			Thunder Pokemon				Undiscovered	
244	244	Entei	Fire		Pressure		Inner Focus	115	115	85	90	75	100	580	436.5	83			Volcano Pokemon				Undiscovered	
245	245	Suicune	Water		Pressure		Inner Focus	100	75	115	90	115	85	580	412.3	79			Aurora Pokemon				Undiscovered	
246	246	Larvitar	Rock	Ground	Guts		Sand Veil	50	64	50	45	50	41	300	158.7	24			Rock Skin Pokemon	0.5	0.5		Monster	
247	247	Pupitar	Rock	Ground	Shed Skin			70	84	70	65	70	51	410	335.1	47			Hard Shell Pokemon	0.5	0.5	Larvitar	Monster	
248	248	Tyranitar	Rock	Dark	Sand Stream		Unnerve	100	134	110	95	100	61	600	445.3	79			Armor Pokemon	0.5	0.5	Pupitar	Monster	
249	249	Lugia	Psychic	Flying	Pressure		Multiscale	106	90	130	90	154	110	680	476.2	205			Diving Pokemon				Undiscovered	
250	250	Ho-Oh	Fire	Flying	Pressure		Regenerator	106	130	90	110	154	90	680	438.7	150			Rainbow Pokemon				Undiscovered	
251	251	Celebi	Psychic	Grass	Natural Cure			100	100	100	100	100	100	600	11	24			Time Travel Pokemon				Undiscovered	
252	252	Treecko	Grass		Overgrow		Unburden	40	45	35	65	55	70	310	11	20			Wood Gecko Pokemon	0.875	0.125		Monster	Dragon
253	253	Grovyle	Grass		Overgrow		Unburden	50	65	45	85	65	95	405	47.6	35			Wood Gecko Pokemon	0.875	0.125	Treecko	Monster	Dragon
254	254	Sceptile	Grass		Overgrow		Unburden	70	85	65	105	85	120	530	115.1	67			Forest Pokemon	0.875	0.125	Grovyle	Monster	Dragon
255	255	Torchic	Fire		Blaze		Speed Boost	45	60	40	70	50	45	310	5.5	16			Chick Pokemon	0.875	0.125		Field	
256	256	Combusken	Fire	Fighting	Blaze		Speed Boost	60	85	60	85	60	55	405	43	35			Young Fowl Pokemon	0.875	0.125	Torchic	Field	
257	257	Blaziken	Fire	Fighting	Blaze		Speed Boost	80	120	70	110	70	80	530	114.6	75			Blaze Pokemon	0.875	0.125	Combusken	Field	
258	258	Mudkip	Water		Torrent		Damp	50	70	50	50	50	40	310	16.8	16			Mud Fish Pokemon	0.875	0.125		Monster	Water 1
259	259	Marshtomp	Water	Ground	Torrent		Damp	70	85	70	60	70	50	405	61.7	28			Mud Fish Pokemon	0.875	0.125	Mudkip	Monster	Water 1
260	260	Swampert	Water	Ground	Torrent		Damp	100	110	90	85	90	60	535	180.6	59			Mud Fish Pokemon	0.875	0.125	Marshtomp	Monster	Water 1
261	261	Poochyena	Dark		Run Away	Quick Feet	Rattled	35	55	35	30	30	35	220	30	20			Bite Pokemon	0.5	0.5		Field	
262	262	Mightyena	Dark		Intimidate	Quick Feet	Moxie	70	90	70	60	60	70	420	81.6	39			Bite Pokemon	0.5	0.5	Poochyena	Field	
263	263	Zigzagoon	Normal		Pickup	Gluttony	Quick Feet	38	30	41	30	41	60	240	38.6	16			Tiny Raccoon Pokemon	0.5	0.5		Field	
264	264	Linoone	Normal		Pickup	Gluttony	Quick Feet	78	70	61	50	61	100	420	71.6	20			Rushing Pokemon	0.5	0.5	Zigzagoon	Field	
265	265	Wurmple	Bug		Shield Dust		Run Away	45	45	35	20	30	20	195	7.9	12			Worm Pokemon	0.5	0.5		Bug	
266	266	Silcoon	Bug		Shed Skin			50	35	55	25	25	15	205	22	24			Cocoon Pokemon	0.5	0.5	Wurmple	Bug	
267	267	Beautifly	Bug	Flying	Swarm		Rivalry	60	70	50	100	50	65	395	62.6	39			Butterfly Pokemon	0.5	0.5	Silcoon	Bug	
268	268	Cascoon	Bug		Shed Skin			50	35	55	25	25	15	205	25.4	28			Cocoon Pokemon	0.5	0.5	Wumple	Bug	
269	269	Dustox	Bug	Poison	Shield Dust		Compound Eyes	60	50	70	50	90	65	385	69.7	47			Poison Moth Pokemon	0.5	0.5	Cascoon	Bug	
270	270	Lotad	Water	Grass	Swift Swim	Rain Dish	Own Tempo	40	30	30	40	50	30	220	5.7	20			Water Weed Pokemon	0.5	0.5		Water 1	Grass
271	271	Lombre	Water	Grass	Swift Swim	Rain Dish	Own Tempo	60	50	50	60	70	50	340	71.6	47			Jolly Pokemon	0.5	0.5	Lotad	Water 1	Grass
272	272	Ludicolo	Water	Grass	Swift Swim	Rain Dish	Own Tempo	80	70	70	90	100	70	480	121.3	59			Carefree Pokemon	0.5	0.5	Lombre	Water 1	Grass
273	273	Seedot	Grass		Chlorophyll	Early Bird	Pickpocket	40	40	50	30	30	30	220	8.8	20			Acorn Pokemon	0.5	0.5		Field	Grass
274	274	Nuzleaf	Grass	Dark	Chlorophyll	Early Bird	Pickpocket	70	70	40	60	40	60	340	61.7	39			Wily Pokemon	0.5	0.5	Seedot	Field	Grass
275	275	Shiftry	Grass	Dark	Chlorophyll	Early Bird	Pickpocket	90	100	60	90	60	80	480	131.4	51			Wicked Pokemon	0.5	0.5	Nuzleaf	Field	Grass
276	276	Taillow	Normal	Flying	Guts		Scrappy	40	55	30	30	30	85	270	5.1	12			Tiny Swallow Pokemon	0.5	0.5		Flying	
277	277	Swellow	Normal	Flying	Guts		Scrappy	60	85	60	75	50	125	455	43.7	28			Swallow Pokemon	0.5	0.5	Taillow	Flying	
278	278	Wingull	Water	Flying	Keen Eye	Hydration	Rain Dish	40	30	30	55	30	85	270	20.9	24	Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.	'Fishermen keep an eye out for Wingull in the sky, because wherever they're circling, the ocean is sure to be teeming with fish Pokemon.'	Seagull Pokemon	0.5	0.5		Water 1	Flying
279	279	Pelipper	Water	Flying	Keen Eye	Drizzle	Rain Dish	60	50	100	95	70	65	440	61.7	47	Its spacious beak is large enough for a small child to fit right inside.	Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.	Water Bird Pokemon	0.5	0.5	Wingull	Water 1	Flying
280	280	Ralts	Psychic	Fairy	Synchronize	Trace	Telepathy	28	25	25	45	35	40	198	14.6	16			Feeling Pokemon	0.5	0.5		Amorphous	
281	281	Kirlia	Psychic	Fairy	Synchronize	Trace	Telepathy	38	35	35	65	55	50	278	44.5	31			Emotion Pokemon	0.5	0.5	Ralts	Amorphous	
282	282	Gardevoir	Psychic	Fairy	Synchronize	Trace	Telepathy	68	65	65	125	115	80	518	106.7	63			Embrace Pokemon	0.5	0.5	Kirlia	Amorphous	
283	283	Surskit	Bug	Water	Swift Swim		Rain Dish	40	30	32	50	52	65	269	3.7	20	It moves as if skating on the surface of the water. It often fights with Dewpider over food.	'When this Pokemon senses danger, a sweet fluid oozes from the tip of its head. The taste of it disgusts bird Pokemon.'	Pond Skater Pokemon	0.5	0.5		Water 1	Bug
284	284	Masquerain	Bug	Flying	Intimidate		Unnerve	70	60	62	100	82	80	454	7.9	31	It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.	'Its wings and antennae don't cope well with moisture. After a rain, it faces sunward to dry off.'	Eyeball Pokemon	0.5	0.5	Surskit	Water 1	Bug
285	285	Shroomish	Grass		Effect Spore	Poison Heal	Quick Feet	60	40	60	40	60	35	295	9.9	16			Mushroom Pokemon	0.5	0.5		Fairy	Grass
286	286	Breloom	Grass	Fighting	Effect Spore	Poison Heal	Technician	60	130	80	60	60	70	460	86.4	47			Mushroom Pokemon	0.5	0.5	Shroomish	Fairy	Grass
287	287	Slakoth	Normal		Truant			60	60	60	35	35	30	280	52.9	31			Slacker Pokemon	0.5	0.5		Field	
288	288	Vigoroth	Normal		Vital Spirit			80	80	80	55	55	90	440	102.5	55			Wild Monkey Pokemon	0.5	0.5	Slakoth	Field	
289	289	Slaking	Normal		Truant			150	160	100	95	65	100	670	287.7	79			Lazy Pokemon	0.5	0.5	Vigoroth	Field	
290	290	Nincada	Bug	Ground	Compound Eyes		Run Away	31	45	90	30	30	40	266	12.1	20			Trainee Pokemon	0.5	0.5		Bug	
291	291	Ninjask	Bug	Flying	Speed Boost		Infiltrator	61	90	45	50	50	160	456	26.5	31			Ninja Pokemon	0.5	0.5	Nincada	Bug	
292	292	Shedinja	Bug	Ghost	Wonder Guard		Wonder Guard	1	90	45	30	30	40	236	2.6	31			Shed Pokemon			Nincada	Mineral	
293	293	Whismur	Normal		Soundproof		Rattled	64	51	23	51	23	28	240	35.9	24			Whisper Pokemon	0.5	0.5		Monster	Field
294	294	Loudred	Normal		Soundproof		Scrappy	84	71	43	71	43	48	360	89.3	39			Big Voice Pokemon	0.5	0.5	Whismur	Monster	Field
295	295	Exploud	Normal		Soundproof		Scrappy	104	91	63	91	73	68	490	185.2	59			Loud Noise Pokemon	0.5	0.5	Loudred	Monster	Field
296	296	Makuhita	Fighting		Thick Fat	Guts	Sheer Force	72	60	30	20	30	25	237	190.5	39	'It was originally brought in from another region, but now Makuhita from Alola are more famous.'	'Their daily routine consists of training together first thing in the morning, eating and napping in the afternoon, and then more training afterward.'	Guts Pokemon	0.5	0.5		Human-Like	
297	297	Hariyama	Fighting		Thick Fat	Guts	Sheer Force	144	120	60	40	60	50	474	559.5	91	'It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita.'	They love to compare their freakish strength— strength enough to send a truck flying with a single slap.	Arm Thrust Pokemon	0.5	0.5	Makuhita	Human-Like	
298	298	Azurill	Normal	Fairy	Thick Fat	Huge Power	Sap Sipper	50	20	40	20	40	20	190	4.4	8			Polka Dot Pokemon	0.25	0.75		Undiscovered	
299	299	Nosepass	Rock		Sturdy	Magnet Pull	Sand Force	30	45	135	45	90	30	375	213.8	39	'The magnet in Nosepass's nose provides an unerring compass, making it an excellent partner for Trainers going on a journey.'	'It uses powerful magnetism to drag its prey toward it. It's also been known to pull in metal, which it collects and uses to protect itself.'	Compass Pokemon	0.5	0.5		Mineral	
300	300	Skitty	Normal		Cute Charm	Normalize	Wonder Skin	50	45	45	35	35	50	260	24.3	24			Kitten Pokemon	0.25	0.75		Field	Fairy
301	301	Delcatty	Normal		Cute Charm	Normalize	Wonder Skin	70	65	65	55	55	90	400	71.9	43			Prim Pokemon	0.25	0.75	Skitty	Field	Fairy
302	302	Sableye	Dark	Ghost	Keen Eye	Stall	Prankster	50	75	75	65	65	50	380	24.3	20	'It's a fiend for gemstones, so it stalks Carbink. Unfortunately, Gabite almost always grabs them first.'	'This Pokemon is feared. When its gemstone eyes begin to glow with a sinister shine, it's believed that Sableye will steal people's spirits away.'	Darkness Pokemon	0.5	0.5		Human-Like	
303	303	Mawile	Steel	Fairy	Hyper Cutter	Intimidate	Sheer Force	50	85	85	55	55	50	380	25.4	24			Deceiver Pokemon	0.5	0.5		Field	Fairy
304	304	Aron	Steel	Rock	Sturdy	Rock Head	Heavy Metal	50	70	100	40	40	30	330	132.3	16			Iron Armor Pokemon	0.5	0.5		Monster	
305	305	Lairon	Steel	Rock	Sturdy	Rock Head	Heavy Metal	60	90	140	50	50	40	430	264.6	35			Iron Armor Pokemon	0.5	0.5	Aron	Monster	
306	306	Aggron	Steel	Rock	Sturdy	Rock Head	Heavy Metal	70	110	180	60	60	50	530	793.7	83			Iron Armor Pokemon	0.5	0.5	Lairon	Monster	
307	307	Meditite	Fighting	Psychic	Pure Power		Telepathy	30	40	55	40	55	60	280	24.7	24			Meditate Pokemon	0.5	0.5		Human-Like	
308	308	Medicham	Fighting	Psychic	Pure Power		Telepathy	60	60	75	60	75	80	410	69.4	51			Meditate Pokemon	0.5	0.5	Meditite	Human-Like	
309	309	Electrike	Electric		Static	Lightning Rod	Minus	40	45	40	65	40	65	295	33.5	24			Lightning Pokemon	0.5	0.5		Field	
310	310	Manectric	Electric		Static	Lightning Rod	Minus	70	75	60	105	60	105	475	88.6	59			Discharge Pokemon	0.5	0.5	Electrike	Field	
311	311	Plusle	Electric		Plus		Lightning Rod	60	50	40	85	75	95	405	9.3	16			Cheering Pokemon	0.5	0.5		Fairy	
312	312	Minun	Electric		Minus		Volt Absorb	60	40	50	75	85	95	405	9.3	16			Cheering Pokemon	0.5	0.5		Fairy	
313	313	Volbeat	Bug		Illuminate	Swarm	Prankster	65	73	75	47	85	85	430	39	28			Firefly Pokemon	1	0		Bug	Human-Like
314	314	Illumise	Bug		Oblivious	Tinted Lens	Prankster	65	47	75	73	85	85	430	39	24			Firefly Pokemon	0	1		Bug	Human-Like
315	315	Roselia	Grass	Poison	Natural Cure	Poison Point	Leaf Guard	50	60	45	100	80	65	400	4.4	12			Thorn Pokemon	0.5	0.5	Budew	Fairy	Grass
316	316	Gulpin	Poison		Liquid Ooze	Sticky Hold	Gluttony	70	43	53	43	53	40	302	22.7	16			Stomach Pokemon	0.5	0.5		Amorphous	
317	317	Swalot	Poison		Liquid Ooze	Sticky Hold	Gluttony	100	73	83	73	83	55	467	176.4	67			Poison Bag Pokemon	0.5	0.5	Gulpin	Amorphous	
318	318	Carvanha	Water	Dark	Rough Skin		Speed Boost	45	90	20	65	20	65	305	45.9	31	Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.	'If they scent the faintest trace of blood, they rush to attack en masse. When alone, they're rather cowardly.'	Savage Pokemon	0.5	0.5		Water 2	
319	319	Sharpedo	Water	Dark	Rough Skin		Speed Boost	70	120	40	95	40	95	460	195.8	71	It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea.	'It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this Pokemon became a victim of overfishing.'	Brutal Pokemon	0.5	0.5	Carvanha	Water 2	
320	320	Wailmer	Water		Water Veil	Oblivious	Pressure	130	70	35	70	35	60	400	286.6	79	It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.	It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.	Ball Whale Pokemon	0.5	0.5		Field	Water 2
321	321	Wailord	Water		Water Veil	Oblivious	Pressure	170	90	45	90	45	60	500	877.4	571	'Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole.'	Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.	Float Whale Pokemon	0.5	0.5	Wailmer	Field	Water 2
322	322	Numel	Fire	Ground	Oblivious	Simple	Own Tempo	60	60	40	65	45	35	305	52.9	28			Numb Pokemon	0.5	0.5		Field	
323	323	Camerupt	Fire	Ground	Magma Armor	Solid Rock	Anger Point	70	100	70	105	75	40	460	485	75			Eruption Pokemon	0.5	0.5	Numel	Field	
324	324	Torkoal	Fire		White Smoke	Drought	Shell Armor	70	85	140	85	70	20	470	177.2	20	Coal is the source of Torkoal's energy. Large amounts of coal can be found in the mountains where they live.	'If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand.'	Coal Pokemon	0.5	0.5		Field	
325	325	Spoink	Psychic		Thick Fat	Own Tempo	Gluttony	60	25	35	70	80	60	330	67.5	28			Bounce Pokemon	0.5	0.5		Field	
326	326	Grumpig	Psychic		Thick Fat	Own Tempo	Gluttony	80	45	65	90	110	80	470	157.6	35			Manipulate Pokemon	0.5	0.5	Spoink	Field	
327	327	Spinda	Normal		Own Tempo	Tangled Feet	Contrary	60	60	60	60	60	60	360	11	43	'Its steps are staggering and unsteady, but Spinda thinks it's walking in a straight line.'	Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.	Spot Panda Pokemon	0.5	0.5		Field	Human-Like
328	328	Trapinch	Ground		Hyper Cutter	Arena Trap	Sheer Force	45	100	45	45	45	10	290	33.1	28	It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.	'As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest.'	Ant Pit Pokemon	0.5	0.5		Bug	
329	329	Vibrava	Ground	Dragon	Levitate			50	70	50	50	50	70	340	33.7	43	'Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies.'	'To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day.'	Vibration Pokemon	0.5	0.5	Trapinch	Bug	
330	330	Flygon	Ground	Dragon	Levitate			80	100	80	80	80	100	520	180.8	79	'The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygon's prey.'	This Pokemon hides in the heart of sandstorms it creates and seldom appears where people can see it.	Mystic Pokemon	0.5	0.5	Vibrava	Bug	
331	331	Cacnea	Grass		Sand Veil		Water Absorb	50	85	40	85	40	35	335	113.1	16			Cactus Pokemon	0.5	0.5		Grass	Human-Like
332	332	Cacturne	Grass	Dark	Sand Veil		Water Absorb	70	115	60	115	60	55	475	170.6	51			Scarecrow Pokemon	0.5	0.5	Cacnea	Grass	Human-Like
333	333	Swablu	Normal	Flying	Natural Cure		Cloud Nine	45	40	60	40	75	50	310	2.6	16			Cotton Bird Pokemon	0.5	0.5		Flying	Dragon
334	334	Altaria	Dragon	Flying	Natural Cure		Cloud Nine	75	70	90	70	105	80	490	45.4	43			Humming Pokemon	0.5	0.5	Swablu	Flying	Dragon
335	335	Zangoose	Normal		Immunity		Toxic Boost	73	115	60	60	60	90	458	88.8	51			Cat Ferret Pokemon	0.5	0.5		Field	
336	336	Seviper	Poison		Shed Skin		Infiltrator	73	100	60	100	60	65	458	115.7	106			Fang Snake Pokemon	0.5	0.5		Field	Dragon
337	337	Lunatone	Rock	Psychic	Levitate			90	55	65	95	85	70	460	370.4	39			Meteorite Pokemon				Mineral	
338	338	Solrock	Rock	Psychic	Levitate			90	95	85	55	65	70	460	339.5	47			Meteorite Pokemon				Mineral	
339	339	Barboach	Water	Ground	Oblivious	Anticipation	Hydration	50	48	43	46	41	60	288	4.2	16	'Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey's location.'	'Its slippery body is hard to grasp, so much so that there are festivals where people compete to see how many they can catch barehanded.'	Whiskers Pokemon	0.5	0.5		Water 2	
340	340	Whiscash	Water	Ground	Oblivious	Anticipation	Hydration	110	78	73	76	71	60	468	52	35	'A glutton that devours anything that moves, it quietly lurks at the bottom of swamps, lying in wait for prey.'	Sighting Whiscash leaping from the water is believed to herald an earthquake.	Whiskers Pokemon	0.5	0.5	Barboach	Water 2	
341	341	Corphish	Water		Hyper Cutter	Shell Armor	Adaptability	43	80	65	50	35	35	308	25.4	24			Ruffian Pokemon	0.5	0.5		Water 1	Water 3
342	342	Crawdaunt	Water	Dark	Hyper Cutter	Shell Armor	Adaptability	63	120	85	90	55	55	468	72.3	43			Rogue Pokemon	0.5	0.5	Corphish	Water 1	Water 3
343	343	Baltoy	Ground	Psychic	Levitate			40	40	55	40	70	55	300	47.4	20			Clay Doll Pokemon				Mineral	
344	344	Claydol	Ground	Psychic	Levitate			60	70	105	70	120	75	500	238.1	59			Clay Doll Pokemon			Baltoy	Mineral	
345	345	Lileep	Rock	Grass	Suction Cups		Storm Drain	66	41	77	61	87	23	355	52.5	39			Sea Lily Pokemon	0.875	0.125		Water 3	
346	346	Cradily	Rock	Grass	Suction Cups		Storm Drain	86	81	97	81	107	43	495	133.2	59			Barnacle Pokemon	0.875	0.125	Lileep	Water 3	
347	347	Anorith	Rock	Bug	Battle Armor		Swift Swim	45	95	50	40	50	75	355	27.6	28			Old Shrimp Pokemon	0.875	0.125		Water 3	
348	348	Armaldo	Rock	Bug	Battle Armor		Swift Swim	75	125	100	70	80	45	495	150.4	59			Plate Pokemon	0.875	0.125	Anorith	Water 3	
349	349	Feebas	Water		Swift Swim	Oblivious	Adaptability	20	15	20	10	55	80	200	16.3	24	'A tough Pokemon that is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isn't popular.'	'Although unattractive and unpopular, this Pokemon's marvelous vitality has made it a subject of research.'	Fish Pokemon	0.5	0.5		Water 1	Dragon
350	350	Milotic	Water		Marvel Scale	Competitive	Cute Charm	95	60	79	100	125	81	540	357.1	244	Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokemon of all.	'It lives at the bottom of clear lakes. In times of war, it shows itself, which soothes people's minds and hearts.'	Tender Pokemon	0.5	0.5	Feebas	Water 1	Dragon
351	351	Castform	Normal		Forecast			70	70	70	70	70	70	420	1.8	12	It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.	'Its form changes on its own, due to its cells' sensitive reactions to temperature and humidity.'	Weather Pokemon	0.5	0.5		Fairy	Amorphous
352	352	Kecleon	Normal		Color Change		Protean	60	90	70	60	120	40	440	48.5	39			Color Swap Pokemon	0.5	0.5		Field	
353	353	Shuppet	Ghost		Insomnia	Frisk	Cursed Body	44	75	35	63	33	45	295	5.1	24			Puppet Pokemon	0.5	0.5		Amorphous	
354	354	Banette	Ghost		Insomnia	Frisk	Cursed Body	64	115	65	83	63	65	455	27.6	43			Marionette Pokemon	0.5	0.5	Shuppet	Amorphous	
355	355	Duskull	Ghost		Levitate		Frisk	20	40	90	30	90	25	295	33.1	31			Requiem Pokemon	0.5	0.5		Amorphous	
356	356	Dusclops	Ghost		Pressure		Frisk	40	70	130	60	130	25	455	67.5	63			Beckon Pokemon	0.5	0.5	Duskull	Amorphous	
357	357	Tropius	Grass	Flying	Chlorophyll	Solar Power	Harvest	99	68	83	72	87	51	460	220.5	79			Fruit Pokemon	0.5	0.5		Monster	Grass
358	358	Chimecho	Psychic		Levitate			75	50	80	95	90	65	455	2.2	24			Wind Chime Pokemon	0.5	0.5	Chingling	Amorphous	
359	359	Absol	Dark		Pressure	Super Luck	Justified	65	130	60	75	60	75	465	103.6	47	'Long ago, superstitions were spread about it, saying it brought disaster. This fed a hatred of it, and it was driven deep into the mountains.'	'Although it's said to bring disaster, in actuality, this Pokemon possesses a calm disposition and warns people of any crises that loom.'	Disaster Pokemon	0.5	0.5		Field	
360	360	Wynaut	Psychic		Shadow Tag		Telepathy	95	23	48	23	48	23	260	30.9	24			Bright Pokemon	0.5	0.5		Undiscovered	
361	361	Snorunt	Ice		Inner Focus	Ice Body	Moody	50	50	50	50	50	50	300	37	28	Their numbers seem to have rapidly increased in Alola. Custom has it that houses where Snorunt live will be prosperous for generations to come.	'It can only survive in cold areas. It bounces happily around, even in environments as cold as -150 degrees Fahrenheit.'	Snow Hat Pokemon	0.5	0.5		Fairy	Mineral
362	362	Glalie	Ice		Inner Focus	Ice Body	Moody	80	80	80	80	80	80	480	565.5	59	'Legend says a boulder on an icy mountain absorbed the distress and regrets of a stranded mountaineer, giving rise to Glalie.'	'Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they're in that frozen state, it gobbles them up.'	Face Pokemon	0.5	0.5	Snorunt	Fairy	Mineral
363	363	Spheal	Ice	Water	Thick Fat	Ice Body	Oblivious	70	40	50	55	50	25	290	87.1	31			Clap Pokemon	0.5	0.5		Water 1	Field
364	364	Sealeo	Ice	Water	Thick Fat	Ice Body	Oblivious	90	60	70	75	70	45	410	193.1	43			Ball Roll Pokemon	0.5	0.5	Spheal	Water 1	Field
365	365	Walrein	Ice	Water	Thick Fat	Ice Body	Oblivious	110	80	90	95	90	65	530	332	55			Ice Break Pokemon	0.5	0.5	Sealeo	Water 1	Field
366	366	Clamperl	Water		Shell Armor		Rattled	35	64	85	74	55	32	345	115.7	16			Bivalve Pokemon	0.5	0.5		Water 1	
367	367	Huntail	Water		Swift Swim		Water Veil	55	104	105	94	75	52	485	59.5	67			Deep Sea Pokemon	0.5	0.5	Clamperl	Water 1	
368	368	Gorebyss	Water		Swift Swim		Hydration	55	84	105	114	75	52	485	49.8	71			South Sea Pokemon	0.5	0.5	Clamperl	Water 1	
369	369	Relicanth	Water	Rock	Swift Swim	Rock Head	Sturdy	100	90	130	45	65	55	485	51.6	39	'Its form has remained the same for one hundred million years. Its body is filled with fat, so it can withstand the water pressure of the deep sea.'	'It was fortuitously discovered during a deep sea expedition. Its teeth have atrophied, so it now survives on microscopic organisms it sucks up.'	Longevity Pokemon	0.5	0.5		Water 1	Water 2
370	370	Luvdisc	Water		Swift Swim		Hydration	43	30	55	40	65	97	330	19.2	24	'If a Luvdisc is left on its own, it becomes despondent, leaving itself open to attack. That is when Pelipper snatch them up.'	'Loving couples have a soft spot for this Pokemon, so honeymoon hotels often release this Pokemon into their pools.'	Rendezvous Pokemon	0.25	0.75		Water 2	
371	371	Bagon	Dragon		Rock Head		Sheer Force	45	75	60	40	30	50	300	92.8	24	Its belief that it will be able to fly one day is apparently the influence of information carried in its genes.	'With its steel-hard stone head, it headbutts indiscriminately. This is because of the stress it feels at being unable to fly.'	Rock Head Pokemon	0.5	0.5		Dragon	
372	372	Shelgon	Dragon		Rock Head		Overcoat	65	95	100	60	50	50	420	243.6	43	'The cells within its shell transform with explosive speed, preparing it for evolution.'	'They lurk deep within caves—motionless, neither eating nor drinking. Why they don't die is not known.'	Endurance Pokemon	0.5	0.5	Bagon	Dragon	
373	373	Salamence	Dragon	Flying	Intimidate		Moxie	95	135	80	110	80	100	600	226.2	59	'When angered, it loses all sense of itself and destroys everything around it. The destruction will continue until Salamence has tired itself out.'	'It flies around on its wings, which have grown in at last. In its happiness, it gushes hot flames, burning up the fields it passes over.'	Dragon Pokemon	0.5	0.5	Shelgon	Dragon	
